LoanID,Forecast_OverdueAmount,Forecast_NPA_Percent,PredictedRiskScore,PriorityRecoveryFlag
L00001,491089.9500000002,35.49,92.64,Yes
L00002,656.0,0.08,81.28,No
L00003,3237.0,0.26,82.87,No
L00004,1001.0,0.2,59.78,No
L00005,3428.0,0.24,,No
L00006,1328.0,0.72,86.3,No
L00007,198563.43,22.08,69.03,No
L00008,366815.16,30.69,70.52,No
L00009,394031.86,32.03,58.18,No
L00010,1523.0,0.45,72.3,No
L00011,3923.0,0.62,69.35,No
L00012,1953.0,0.2,86.64,No
L00013,1977.0,0.39,75.59,No
L00014,2285.0,0.23,91.87,No
L00015,1718.0,0.29,61.38,No
L00016,4040.0,0.72,89.57,No
L00017,6323.72,3.06,97.12,No
L00018,4680.0,4.38,79.43,No
L00019,2655.0,0.21,71.26,No
L00020,2678.0,0.35,75.38,No
L00021,1073.0,0.12,91.76,No
L00022,227385.40000000002,38.56,95.84,Yes
L00023,846.0,0.34,61.56,No
L00024,1760.0,0.25,84.61,No
L00025,1158.0,0.3,88.95,No
L00026,552.0,0.04,60.68,No
L00027,1945.0,0.13,71.07,No
L00028,3390.0,0.25,60.44,No
L00029,173029.63999999998,21.2,73.32,No
L00030,1547.0,0.16,65.01,No
L00031,4937.0,0.35,77.99,No
L00032,514399.8499999999,61.89,88.56,Yes
L00033,2696.0,0.28,90.85,No
L00034,989.0,0.1,71.87,No
L00035,670551.52,62.27,61.97,No
L00036,2790.0,0.29,64.15,No
L00037,2494.0,0.24,93.94,No
L00038,4145.0,0.38,94.25,No
L00039,2151.0,0.18,64.94,No
L00040,3957.0,0.62,62.4,No
L00041,2574.0,0.23,88.21,No
L00042,2575.0,1.32,83.99,No
L00043,1705.0,0.13,81.69,No
L00044,1115.0,0.24,83.79,No
L00045,117990.72,18.58,89.18,Yes
L00046,1099.0,0.09,71.44,No
L00047,883.0,0.09,79.18,No
L00048,2914.0,0.59,62.04,No
L00049,2410.0,0.64,86.08,No
L00050,4080.0,0.28,95.47,No
L00051,101051.20000000001,57.0,71.07,No
L00052,4251.0,7.55,94.24,No
L00053,97880.28,9.54,91.44,Yes
L00054,2474.0,0.26,71.12,No
L00055,2727.0,0.24,83.85,No
L00056,4670.0,0.42,71.28,No
L00057,1729.0,0.13,61.769999999999996,No
L00058,889.0,0.06,64.62,No
L00059,2114.0,0.18,62.67,No
L00060,1480.0,0.38,91.11,No
L00061,3532.0,0.49,93.51,No
L00062,2651.0,0.27,82.82,No
L00063,400894.8800000001,48.18,84.28,Yes
L00064,2639.0,0.94,89.97,No
L00065,3551.0,0.39,86.34,No
L00066,2254.0,0.17,76.64,No
L00067,125181.2,19.06,70.21,No
L00068,3106.0,0.3,76.79,No
L00069,108686.07999999999,11.52,85.18,Yes
L00070,2053.0,0.34,88.36,No
L00071,2162.0,0.25,65.47999999999999,No
L00072,1280.0,0.36,84.94,No
L00073,250192.63999999998,29.72,64.11,No
L00074,3185.0,0.26,92.17,No
L00075,3527.0,0.31,,No
L00076,3291.0,0.58,84.17,No
L00077,3044.0,1.43,88.71,No
L00078,3237.0,0.27,77.33,No
L00079,3006.0,0.69,68.66,No
L00080,1412.0,1.11,88.64,No
L00081,3743.0,0.54,91.32,No
L00082,3567.0,0.32,68.26,No
L00083,458695.28,37.53,92.21,Yes
L00084,2175.0,0.15,66.63,No
L00085,688.0,0.21,70.95,No
L00086,145334.68,30.53,72.42,No
L00087,3250.0,0.35,97.66,No
L00088,2115.0,0.17,71.68,No
L00089,2120.0,0.54,94.88,No
L00090,1105.0,0.17,85.88,No
L00091,4227.0,0.66,64.89,No
L00092,761.0,0.07,85.6,No
L00093,51939.84,13.01,96.41,Yes
L00094,482348.0,33.16,84.91,Yes
L00095,429064.6599999999,54.3,67.17,No
L00096,2890.0,0.63,72.19,No
L00097,82461.02,17.84,69.77,No
L00098,2968.0,3.88,61.91,No
L00099,952.0,0.09,72.76,No
L00100,2822.0,0.24,86.78,No
L00101,1884.0,1.94,74.92,No
L00102,213172.16000000003,23.7,78.31,No
L00103,1757.0,0.15,73.51,No
L00104,4397.0,0.74,96.78,No
L00105,996.0,0.15,83.86,No
L00106,157926.16,27.5,96.52,Yes
L00107,1521.0,0.3,80.21,No
L00108,2966.0,0.39,68.58,No
L00109,2148.0,0.74,94.03,No
L00110,3918.0,0.57,89.77,No
L00111,2494.0,0.18,76.86,No
L00112,676.0,0.75,87.65,No
L00113,3542.0,1.23,65.65,No
