LoanID,CustomerID,BranchID,ProductID,DisbursedDate,LoanAmount,TenureMonths,InterestRate,Status,RiskScore,LoanType,ClosureDate,EarlyClosureFlag
L00001,C00861,B020,P009,12-10-2022,1383910.76,48,12.49,Active,88.64,2W,,
L00002,C01295,B041,P004,14-10-2020,775199.57,18,14.27,Active,79.28,2W,,
L00003,C01131,B016,P006,20-12-2020,1254935.95,24,9.52,Active,81.87,Commercial,,
L00004,C01096,B009,P003,08-12-2020,510216.12,24,9.58,Active,62.78,2W,,
L00005,C01639,B030,P003,28-05-2020,1458536.12,18,,Active,,Commercial,,
L00006,C02170,B027,P003,28-07-2020,185521.69,18,14.12,Closed,86.3,Commercial,21-01-2024,FALSE
L00007,C00467,B009,P010,09-02-2023,899100.64,36,12.13,Active,66.03,Used,,
L00008,C01239,B001,P002,15-10-2021,1195337.3,60,14.83,Active,69.52,4W,,
L00009,C00331,B043,P008,02-09-2022,1230359.43,48,9.17,Active,60.18,Used,,
L00010,C01483,B001,P009,19-06-2021,337507.61,36,13.69,Active,70.3,2W,,
L00011,C02136,B032,P008,08-12-2022,632386.54,12,14.45,Active,72.35,Used,,
L00012,C02920,B019,P010,26-11-2020,955084.45,48,10.7,Active,86.64,Tractor,,
L00013,C00131,B022,P003,30-12-2020,508029.93,24,14.71,Active,78.59,Used,,
L00014,C01686,B005,P007,11-01-2020,1004529.22,18,9.02,Active,92.87,Used,,
L00015,C00770,B024,P010,26-04-2023,599231.97,18,14.65,Active,63.38,Used,,
L00016,C02392,B005,P002,23-05-2021,558756.17,60,14.27,Closed,87.57,Commercial,28-01-2023,FALSE
L00017,C01516,B017,P004,02-08-2021,206698.85,48,8,Active,94.12,4W,,
L00018,C02854,B011,P006,18-01-2023,106916.67,6,11.41,Active,76.43,Used,,
L00019,C02434,B048,P005,13-09-2021,1261147,60,11.47,Closed,71.26,Used,13-10-2022,FALSE
L00020,C01216,B043,P009,19-06-2022,759839.51,60,7.93,Closed,77.38,4W,28-05-2024,FALSE
